"short_name","overall","potential","value_eur","wage_eur","age","dob","club_name","height_cm","weight_kg","league_name","player_positions","nationality_name","preferred_foot","weak_foot","pace","shooting","passing","dribbling","defending","physic","year","Type"
"Jorge Miramón",74,74,2900000,21000,32,"1989-06-02","Levante Unión Deportiva",175,74,"Spain Primera Division","RB","Spain","Right",3,73,58,73,70,71,73,2022,"DEF"
"M. Jensen",74,77,5500000,37000,25,"1996-01-01","Brentford",180,68,"English Premier League","CM","Denmark","Right",4,67,63,75,73,65,70,2022,"MID"
"Rubén Alcaraz",74,74,4e+06,11000,30,"1991-05-01","Real Valladolid CF",183,81,"Spanish Segunda División","CM","Spain","Right",4,61,71,74,70,74,82,2022,"MID"
"A. Mitri<U+021B>a",74,75,5e+06,1000,26,"1995-02-08","PAOK",165,65,"Greek Super League","LM","Romania","Right",5,85,69,69,78,26,57,2022,"MID"
"J. Aidoo",74,79,5500000,17000,25,"1995-09-29","RC Celta de Vigo",184,80,"Spain Primera Division","CB","Ghana","Right",2,73,25,40,46,73,87,2022,"DEF"
"L. Nmecha",74,81,8500000,43000,22,"1998-12-14","VfL Wolfsburg",185,80,"German 1. Bundesliga","ST","Germany","Right",4,82,73,64,75,39,78,2022,"FRD"
"Juli Piresinho",74,76,5e+06,9000,21,"2000-02-29","Bahia",180,82,"Campeonato Brasileiro Série A","RB","Brazil","Right",2,68,48,62,66,74,77,2022,"DEF"
"Vinicius Cardenha",74,74,3700000,20000,29,"1992-02-29","Fluminense",179,73,"Campeonato Brasileiro Série A","RB","Brazil","Right",3,73,49,60,68,71,70,2022,"DEF"
"Mauri Borgho",74,74,3700000,30000,29,"1992-02-29","São Paulo",172,71,"Campeonato Brasileiro Série A","RB","Brazil","Right",4,76,63,71,70,72,66,2022,"DEF"
"Caio Nunson",74,74,4400000,9000,21,"2000-02-29","Fortaleza",185,85,"Campeonato Brasileiro Série A","CB","Brazil","Left",3,59,50,61,59,73,76,2022,"DEF"
"Otávio Cairinho",74,74,3500000,30000,29,"1992-02-29","Palmeiras",179,80,"Campeonato Brasileiro Série A","CB","Brazil","Right",3,58,50,58,53,75,74,2022,"DEF"
"Eltildo Correia",74,74,3500000,28000,29,"1992-02-29","Clube Atlético Mineiro",188,78,"Campeonato Brasileiro Série A","CB","Brazil","Right",3,56,50,61,51,76,75,2022,"DEF"
"Robson Denho",74,74,3600000,12000,29,"1992-02-29","Atlético Clube Goianiense",181,78,"Campeonato Brasileiro Série A","CDM","Brazil","Right",3,64,59,72,63,73,77,2022,"MID"
"Claudiano Sobrino",74,74,4100000,27000,25,"1996-02-29","Palmeiras",177,72,"Campeonato Brasileiro Série A","CDM","Brazil","Right",4,73,57,74,72,70,75,2022,"MID"
"Ramón da Almeyda",74,74,4200000,14000,25,"1996-02-29","Cuiabá",178,80,"Campeonato Brasileiro Série A","LB","Brazil","Left",3,71,53,65,71,72,73,2022,"DEF"
"Douglas Carvalheira",74,74,2200000,28000,33,"1988-02-29","Flamengo",174,74,"Campeonato Brasileiro Série A","LB","Brazil","Left",2,90,40,61,71,69,69,2022,"DEF"
"Edval Anton",74,74,3600000,12000,29,"1992-02-29","Fortaleza",183,71,"Campeonato Brasileiro Série A","CDM","Brazil","Left",3,70,56,71,72,72,69,2022,"MID"
"Dani Rochelinhas",74,74,4100000,15000,29,"1992-02-29","Club Athletico Paranaense",178,75,"Campeonato Brasileiro Série A","CAM","Brazil","Left",3,76,63,72,76,34,59,2022,"MID"
"Meirelinson",74,74,3500000,24000,29,"1992-02-29","Sport Club Corinthians Paulista",182,79,"Campeonato Brasileiro Série A","CB","Brazil","Right",2,71,45,66,72,75,70,2022,"DEF"
"Lino Essier",74,74,3500000,30000,29,"1992-02-29","São Paulo",183,77,"Campeonato Brasileiro Série A","CB","Brazil","Left",1,67,45,68,66,73,79,2022,"DEF"
"Gérson Damesio",74,74,3500000,30000,29,"1992-02-29","Flamengo",182,80,"Campeonato Brasileiro Série A","CB","Brazil","Right",3,51,42,49,57,76,76,2022,"DEF"
"Adolfinho Padilha",74,74,3700000,12000,29,"1992-02-29","Bahia",182,82,"Campeonato Brasileiro Série A","LB","Brazil","Left",3,81,57,65,75,69,72,2022,"DEF"
"Germano Cuba",74,74,4200000,27000,25,"1996-02-29","Palmeiras",170,68,"Campeonato Brasileiro Série A","LB","Brazil","Left",3,88,68,68,76,67,57,2022,"DEF"
"Mauro Cildinho",74,74,4200000,11000,25,"1996-02-29","Atlético Clube Goianiense",172,64,"Campeonato Brasileiro Série A","RB","Brazil","Right",3,74,46,68,74,69,58,2022,"DEF"
"Michael Dimeira",74,74,4100000,32000,29,"1992-02-29","São Paulo",167,63,"Campeonato Brasileiro Série A","CAM","Brazil","Right",3,86,64,71,78,39,52,2022,"MID"
"Kaimo Lima",74,74,4100000,18000,25,"1996-02-29","Fluminense",188,77,"Campeonato Brasileiro Série A","CB","Brazil","Left",3,74,63,69,68,75,70,2022,"DEF"
"Ailtio Coelho",74,74,4100000,32000,29,"1992-02-29","São Paulo",176,75,"Campeonato Brasileiro Série A","LM","Brazil","Left",3,82,72,71,74,38,60,2022,"MID"
"Edercinho Sepa",74,74,4400000,16000,21,"2000-02-29","Grêmio",179,76,"Campeonato Brasileiro Série A","CDM","Brazil","Right",3,72,72,65,67,74,71,2022,"MID"
"Elias Fontoira",74,74,4100000,20000,25,"1996-02-29","Internacional",186,74,"Campeonato Brasileiro Série A","CDM","Brazil","Right",3,69,69,74,73,73,70,2022,"MID"
"Diegildo Ramos",74,74,4200000,35000,29,"1992-02-29","Flamengo",185,80,"Campeonato Brasileiro Série A","ST","Brazil","Left",3,30,79,67,67,28,70,2022,"FRD"
"Allan Bardinho",74,74,4100000,14000,29,"1992-02-29","Ceará Sporting Club",175,72,"Campeonato Brasileiro Série A","CAM","Brazil","Left",4,65,69,73,77,35,54,2022,"MID"
"José Mirazar",74,74,4700000,24000,25,"1996-02-29","Grêmio",180,74,"Campeonato Brasileiro Série A","CAM","Brazil","Left",3,72,65,76,76,35,63,2022,"MID"
"Roni Gameira",74,74,4200000,16000,29,"1992-02-29","Club Athletico Paranaense",180,76,"Campeonato Brasileiro Série A","ST","Brazil","Right",3,80,75,58,73,29,62,2022,"FRD"
"Nicholas Aldair",74,74,4200000,23000,29,"1992-02-29","Fluminense",187,81,"Campeonato Brasileiro Série A","ST","Brazil","Right",3,67,75,68,72,38,77,2022,"FRD"
"Benjamin Meseira",74,74,4200000,12000,25,"1996-02-29","Club Athletico Paranaense",180,75,"Campeonato Brasileiro Série A","RB","Brazil","Right",3,79,45,61,69,69,73,2022,"DEF"
"A. Mozo",74,81,8e+06,10000,24,"1997-04-05","Club Universidad Nacional",175,75,"Mexican Liga MX","RB","Mexico","Right",3,81,44,60,69,68,78,2022,"DEF"
"A. Ba Loua",74,76,5500000,9000,24,"1996-07-25","Lech Poznan",170,72,"Polish T-Mobile Ekstraklasa","RM","Côte d'Ivoire","Left",3,88,61,71,76,27,52,2022,"MID"
"T. Awoniyi",74,79,6500000,25000,23,"1997-08-12","1. FC Union Berlin",183,85,"German 1. Bundesliga","ST","Nigeria","Right",2,78,73,60,70,32,76,2022,"FRD"
"C. de Pena",74,74,4100000,1000,29,"1992-03-11","Dynamo Kyiv",177,72,"Ukrainian Premier League","LM","Uruguay","Left",3,75,69,74,72,29,52,2022,"MID"
"M. Frýdek",74,74,3700000,14000,29,"1992-03-24","FC Luzern",178,73,"Swiss Super League","LB","Czech Republic","Left",4,75,67,70,69,68,80,2022,"DEF"
"S. Hefti",74,80,6e+06,12000,23,"1997-10-25","BSC Young Boys",183,80,"Swiss Super League","RB","Switzerland","Right",3,75,49,64,65,70,80,2022,"DEF"
"Z. Bakaev",74,78,6e+06,41000,25,"1996-07-01","Spartak Moskva",180,77,"Russian Premier League","CAM","Russia","Left",2,85,70,71,75,32,56,2022,"MID"
"J. Lucumí",74,82,8500000,12000,23,"1998-06-26","KRC Genk",187,84,"Belgian Jupiler Pro League","CB","Colombia","Left",3,68,28,59,63,73,80,2022,"DEF"
"M. Cafaro",74,78,6e+06,19000,24,"1997-03-25","Stade de Reims",178,74,"French Ligue 1","LM","France","Right",3,76,69,72,77,44,61,2022,"MID"
"A. Ounas",74,78,6e+06,44000,24,"1996-11-11","Napoli",172,65,"Italian Serie A","RW","Algeria","Left",4,84,66,71,79,44,64,2022,"FRD"
"B. Cufré",74,81,8e+06,17000,24,"1996-12-15","Málaga CF",179,82,"Spanish Segunda División","LB","Argentina","Left",3,81,64,72,73,70,75,2022,"DEF"
"J. Gnagnon",74,79,6e+06,17000,24,"1997-01-13","Sevilla FC",182,89,"Spain Primera Division","CB","France","Right",2,50,39,56,60,74,79,2022,"DEF"
"G. Diangana",74,83,9500000,35000,23,"1998-04-19","West Bromwich Albion",180,73,"English League Championship","LW","England","Left",3,83,62,68,76,27,57,2022,"FRD"
"A. Tuanzebe",74,81,8e+06,60000,23,"1997-11-14","Aston Villa",185,75,"English Premier League","CB","England","Right",3,80,36,63,69,73,73,2022,"DEF"
"T. Pochettino",74,79,6e+06,8000,25,"1996-02-01","Austin FC",180,72,"USA Major League Soccer","CM","Argentina","Right",3,68,66,77,75,63,73,2022,"MID"
"Ontiveros",74,80,6500000,23000,23,"1997-09-09","CA Osasuna",172,75,"Spain Primera Division","LM","Spain","Right",3,77,74,72,76,35,54,2022,"MID"
"L. Dimata",74,79,6500000,16000,23,"1997-09-01","RCD Espanyol de Barcelona",185,81,"Spain Primera Division","ST","Belgium","Right",3,77,73,64,70,40,77,2022,"FRD"
"A. Ömür",74,81,8500000,22000,22,"1999-06-25","Trabzonspor",168,70,"Turkish Süper Lig","RW","Turkey","Left",3,83,66,70,81,39,56,2022,"FRD"
"T. Henry",74,76,5500000,20000,26,"1994-09-20","Venezia FC",192,86,"Italian Serie A","ST","France","Right",3,61,73,65,66,39,79,2022,"FRD"
"M. Wöber",74,80,6e+06,19000,23,"1998-02-04","FC Red Bull Salzburg",189,82,"Austrian Football Bundesliga","CB","Austria","Left",3,72,45,63,64,73,80,2022,"DEF"
"K. Tsimikas",74,78,5500000,62000,25,"1996-05-12","Liverpool",179,68,"English Premier League","LB","Greece","Left",3,83,57,69,72,69,74,2022,"DEF"
"S. Ascacíbar",74,79,6e+06,28000,24,"1997-02-25","Hertha BSC",168,70,"German 1. Bundesliga","CDM","Argentina","Right",3,63,47,61,69,75,72,2022,"MID"
"R. Morioka",74,74,4e+06,14000,30,"1991-04-12","Royal Charleroi S.C.",180,79,"Belgian Jupiler Pro League","CM","Japan","Right",3,53,69,76,71,72,73,2022,"MID"
"D. Batallini",74,77,5500000,13000,25,"1996-06-24","Club Atlético de San Luis",176,77,"Mexican Liga MX","RW","Argentina","Right",3,79,70,67,77,55,72,2022,"FRD"
"M. Pereira Lage",74,78,6e+06,18000,24,"1996-11-30","Angers SCO",180,67,"French Ligue 1","LM","Portugal","Right",3,78,73,72,73,43,65,2022,"MID"
"Aleñá",74,79,6500000,20000,23,"1998-01-05","Getafe CF",180,73,"Spain Primera Division","CM","Spain","Left",2,70,67,74,75,60,62,2022,"MID"
"K. Itakura",74,80,6e+06,64000,24,"1997-01-27","FC Schalke 04",186,75,"German 2. Bundesliga","CB","Japan","Right",3,77,32,53,65,76,76,2022,"DEF"
"R. Oudin",74,77,6e+06,19000,24,"1996-11-18","FC Girondins de Bordeaux",186,81,"French Ligue 1","RM","France","Left",3,72,71,72,74,34,67,2022,"MID"
"R. Zhemaletdinov",74,78,6e+06,33000,24,"1996-09-20","FC Lokomotiv Moscow",184,80,"Russian Premier League","RM","Russia","Right",3,81,68,69,75,33,67,2022,"MID"
"A. Castro-Montes",74,78,6e+06,17000,24,"1997-05-17","KAA Gent",175,67,"Belgian Jupiler Pro League","RM","Belgium","Right",4,74,71,72,74,69,68,2022,"MID"
"C. Quintana",74,74,2e+06,12000,33,"1988-02-10","Argentinos Juniors",190,88,"Argentina Primera División","CB","Argentina","Left",3,51,32,47,49,75,81,2022,"DEF"
"Evander",74,81,8500000,21000,23,"1998-06-09","FC Midtjylland",179,72,"Danish Superliga","CM","Brazil","Right",4,73,68,75,78,65,62,2022,"MID"
"Florentino",74,83,9e+06,8000,21,"1999-08-19","Getafe CF",184,74,"Spain Primera Division","CDM","Portugal","Right",2,62,44,61,68,74,73,2022,"MID"
"Aurélio Buta",74,78,5500000,15000,24,"1997-02-10","Royal Antwerp FC",171,66,"Belgian Jupiler Pro League","RB","Portugal","Right",4,93,59,67,75,66,69,2022,"DEF"
"J. Lotomba",74,79,6e+06,21000,22,"1998-09-29","OGC Nice",177,71,"French Ligue 1","RB","Switzerland","Right",4,78,48,65,71,71,65,2022,"DEF"
"I. Doumbia",74,80,6500000,11000,23,"1998-04-14","SV Zulte Waregem",187,80,"Belgian Jupiler Pro League","CM","Côte d'Ivoire","Right",3,66,59,70,70,72,82,2022,"MID"
"K. Laifis",74,74,3600000,14000,28,"1993-05-19","Standard de Liège",186,82,"Belgian Jupiler Pro League","CB","Cyprus","Left",3,66,58,67,69,75,74,2022,"DEF"
"J. Rasmussen",74,81,8e+06,32000,24,"1997-05-28","Vitesse",190,81,"Holland Eredivisie","CB","Denmark","Left",3,49,37,59,63,74,79,2022,"DEF"
"Pedro Rebocho",74,77,5e+06,9000,26,"1995-01-23","Lech Poznan",171,80,"Polish T-Mobile Ekstraklasa","LB","Portugal","Left",2,76,58,68,74,71,71,2022,"DEF"
"O. Richards",74,82,9e+06,40000,23,"1998-02-15","FC Bayern München",174,74,"German 1. Bundesliga","LB","England","Left",2,81,46,60,73,69,63,2022,"DEF"
"F. Chalov",74,80,6500000,34000,23,"1998-04-10","PFC CSKA Moscow",180,77,"Russian Premier League","ST","Russia","Right",4,75,72,67,75,33,63,2022,"FRD"
"D. Liénard",74,74,2600000,21000,33,"1988-02-13","RC Strasbourg Alsace",181,77,"French Ligue 1","CM","France","Left",3,54,70,79,73,62,70,2022,"MID"
"J. Menéndez",74,74,4500000,9000,27,"1994-03-05","Real Salt Lake",164,63,"USA Major League Soccer","RW","Argentina","Left",5,89,69,68,75,42,53,2022,"FRD"
"M. Sarr",74,78,5500000,56000,22,"1999-01-23","Chelsea",182,75,"English Premier League","CB","France","Left",2,68,52,68,66,75,75,2022,"DEF"
"R. Marin",74,78,6e+06,26000,25,"1996-05-23","Cagliari",178,75,"Italian Serie A","CM","Romania","Right",4,67,73,78,73,61,65,2022,"MID"
"C. Kouamé",74,80,6500000,39000,23,"1997-12-06","RSC Anderlecht",185,70,"Belgian Jupiler Pro League","ST","Côte d'Ivoire","Right",4,83,71,63,76,39,65,2022,"FRD"
"D. Zeefuik",74,79,6e+06,28000,23,"1998-03-11","Hertha BSC",177,76,"German 1. Bundesliga","RB","Netherlands","Right",3,83,40,61,69,71,80,2022,"DEF"
"Mario González",74,79,6500000,14000,25,"1996-02-25","SC Braga",184,76,"Portuguese Liga ZON SAGRES","ST","Spain","Right",3,72,73,62,74,22,64,2022,"FRD"
"N. Moumi Ngamaleu",74,74,4600000,16000,26,"1994-07-09","BSC Young Boys",181,74,"Swiss Super League","LM","Cameroon","Right",3,91,70,65,75,34,74,2022,"MID"
"E. Barco",74,80,7e+06,7000,22,"1999-03-29","Atlanta United",165,65,"USA Major League Soccer","LM","Argentina","Right",4,82,67,68,79,28,53,2022,"MID"
"Estevão Baldeiro",74,74,4100000,27000,25,"1996-02-29","Flamengo",186,85,"Campeonato Brasileiro Série A","CB","Brazil","Right",3,75,56,60,64,76,75,2022,"DEF"
"Aarón",74,78,5500000,17000,24,"1997-04-22","1. FSV Mainz 05",178,68,"German 1. Bundesliga","LB","Spain","Left",3,64,47,71,74,71,64,2022,"DEF"
"M. Rog",74,76,5500000,26000,25,"1995-07-19","Cagliari",180,73,"Italian Serie A","CM","Croatia","Right",3,71,66,73,75,63,69,2022,"MID"
"D. Giannoulis",74,78,5500000,26000,25,"1995-10-17","Norwich City",178,71,"English Premier League","LB","Greece","Left",2,82,48,65,70,70,67,2022,"DEF"
"C. Michelin",74,78,5500000,950,24,"1997-05-11","AEK Athens",178,65,"Greek Super League","RWB","France","Right",3,71,50,69,69,70,69,2022,"DEF"
"S. Lammers",74,78,6e+06,35000,24,"1997-04-30","Eintracht Frankfurt",191,77,"German 1. Bundesliga","ST","Netherlands","Left",5,75,75,61,77,34,66,2022,"FRD"
"S. Cáseres",74,80,6e+06,20000,24,"1997-02-25","Vélez Sarsfield",177,77,"Argentina Primera División","CDM","Argentina","Right",3,65,55,68,71,68,78,2022,"MID"
"J. Tanganga",74,84,9e+06,49000,22,"1999-03-31","Tottenham Hotspur",180,73,"English Premier League","RB","England","Right",3,77,34,62,69,74,78,2022,"DEF"
"A. Caci",74,80,6e+06,16000,24,"1997-07-01","RC Strasbourg Alsace",186,74,"French Ligue 1","LB","France","Right",5,72,52,67,68,72,72,2022,"DEF"
"E. Nketiah",74,81,8500000,56000,22,"1999-05-30","Arsenal",175,72,"English Premier League","ST","England","Right",3,83,72,55,74,24,61,2022,"FRD"
"Kim Min Jae",74,81,8e+06,30000,24,"1996-11-15","Fenerbahçe SK",190,81,"Turkish Süper Lig","CB","Korea Republic","Right",2,77,32,56,61,73,79,2022,"DEF"
"M. Rojas",74,77,5500000,16000,25,"1995-11-03","Racing Club",186,78,"Argentina Primera División","CAM","Paraguay","Left",3,75,74,73,76,59,61,2022,"MID"
"S. Kalu",74,79,6500000,19000,23,"1997-08-26","FC Girondins de Bordeaux",177,78,"French Ligue 1","LM","Nigeria","Right",4,85,66,69,77,34,56,2022,"MID"
"Y. Osorio",74,77,4800000,25000,27,"1994-05-10","Parma",189,77,"Italian Serie B","CB","Venezuela","Right",2,55,31,44,52,73,81,2022,"DEF"
"L. Singh",74,80,6500000,18000,23,"1997-08-05","F.C. København",171,60,"Danish Superliga","LW","South Africa","Right",4,88,70,67,77,38,43,2022,"FRD"
"M. Djenepo",74,80,6500000,37000,23,"1998-06-15","Southampton",177,65,"English Premier League","LM","Mali","Right",3,82,68,66,80,36,65,2022,"MID"
"A. Franco",74,81,8e+06,6000,24,"1996-10-11","Atlanta United",183,77,"USA Major League Soccer","CB","Argentina","Right",2,63,34,51,64,75,79,2022,"DEF"
"A. Maier",74,82,9500000,31000,22,"1999-01-08","FC Augsburg",186,79,"German 1. Bundesliga","CM","Germany","Right",3,69,57,71,75,68,71,2022,"MID"
"R. Kolo Muani",74,82,9500000,21000,22,"1998-12-05","FC Nantes",187,73,"French Ligue 1","ST","France","Right",3,82,69,60,77,31,61,2022,"FRD"
"D. Lainez",74,83,9500000,15000,21,"2000-06-09","Real Betis Balompié",168,58,"Spain Primera Division","RM","Mexico","Left",3,78,64,70,80,49,55,2022,"MID"
"U. Antuna",74,80,6500000,34000,23,"1997-08-21","Club Deportivo Guadalajara",174,59,"Mexican Liga MX","LM","Mexico","Right",3,92,59,65,76,31,47,2022,"MID"
"C. Ejuke",74,81,8500000,31000,23,"1998-01-02","PFC CSKA Moscow",174,72,"Russian Premier League","LM","Nigeria","Right",3,94,68,63,78,37,59,2022,"MID"
"M. Richter",74,78,6e+06,31000,23,"1997-11-24","Hertha BSC",176,74,"German 1. Bundesliga","RM","Germany","Right",4,76,70,65,77,27,61,2022,"MID"
"C. Gallagher",74,82,9500000,53000,21,"2000-02-06","Crystal Palace",182,74,"English Premier League","CM","England","Right",2,71,69,70,73,61,66,2022,"MID"
"Rodrigo Becão",74,78,5500000,14000,25,"1996-01-19","Udinese Calcio",191,79,"Italian Serie A","CB","Brazil","Right",2,49,33,55,48,77,71,2022,"DEF"
"E. Pinnock",74,75,4e+06,37000,28,"1993-05-29","Brentford",194,79,"English Premier League","CB","Jamaica","Left",3,68,37,57,60,74,79,2022,"DEF"
"E. Demirovic",74,81,8500000,23000,23,"1998-03-25","Sport-Club Freiburg",185,80,"German 1. Bundesliga","ST","Bosnia and Herzegovina","Right",3,68,74,61,71,37,73,2022,"FRD"
"E. Dennis",74,79,6500000,41000,23,"1997-11-15","Watford",175,66,"English Premier League","ST","Nigeria","Right",3,88,72,60,76,38,68,2022,"FRD"
"H. Akbunar",74,74,4500000,15000,27,"1993-11-09","Göztepe SK",167,68,"Turkish Süper Lig","RW","Turkey","Left",4,87,67,70,77,38,58,2022,"FRD"
"Abel Ruiz",74,83,9500000,11000,21,"2000-01-28","SC Braga",182,73,"Portuguese Liga ZON SAGRES","ST","Spain","Right",3,74,74,60,73,38,67,2022,"FRD"
"P. Struijk",74,83,9e+06,38000,21,"1999-08-11","Leeds United",190,79,"English Premier League","CB","Netherlands","Left",4,58,35,60,62,75,73,2022,"DEF"
"M. Bakker",74,81,8e+06,25000,21,"2000-06-20","Bayer 04 Leverkusen",185,85,"German 1. Bundesliga","LB","Netherlands","Left",3,76,50,65,68,72,77,2022,"DEF"
"G. Giakoumakis",74,77,5500000,47000,26,"1994-12-09","Celtic",185,84,"Scottish Premiership","ST","Greece","Right",3,70,75,48,68,28,78,2022,"FRD"
"Pablo Santos",74,75,3900000,13000,29,"1992-03-18","Moreirense FC",188,83,"Portuguese Liga ZON SAGRES","CB","Brazil","Left",2,65,39,45,54,75,78,2022,"DEF"
"D. Man",74,83,9500000,26000,22,"1998-08-26","Parma",183,82,"Italian Serie B","RW","Romania","Left",3,86,72,68,75,48,70,2022,"FRD"
"D. Hovorka",74,75,4200000,850,27,"1993-08-07","SK Slavia Praha",179,73,"Czech Republic Gambrinus Liga","CB","Czech Republic","Right",3,77,39,63,69,72,75,2022,"DEF"
"S. Plavšic",74,77,5500000,900,25,"1995-12-03","SK Slavia Praha",165,60,"Czech Republic Gambrinus Liga","LM","Serbia","Left",2,86,66,70,77,28,60,2022,"MID"
"M. Ristic",74,77,5e+06,19000,25,"1995-10-31","Montpellier Hérault SC",180,79,"French Ligue 1","LB","Serbia","Left",3,76,60,65,73,69,68,2022,"DEF"
"O. Alderete",74,80,6e+06,28000,24,"1996-12-26","Valencia CF",188,77,"Spain Primera Division","CB","Paraguay","Left",3,66,56,59,63,74,77,2022,"DEF"
"Junior Messias",74,74,4100000,12000,30,"1991-05-13","AC Milan",179,70,"Italian Serie A","CAM","Brazil","Left",3,82,68,72,76,37,54,2022,"MID"
"M. Saracchi",74,79,6e+06,40000,23,"1998-04-23","RB Leipzig",172,68,"German 1. Bundesliga","LB","Uruguay","Left",3,82,63,70,75,69,69,2022,"DEF"
"Z. Vanheusden",74,82,9e+06,43000,21,"1999-07-29","Genoa",187,78,"Italian Serie A","CB","Belgium","Right",3,60,45,63,66,75,74,2022,"DEF"
"I. Ganago",74,79,6500000,24000,22,"1999-02-16","Racing Club de Lens",179,82,"French Ligue 1","ST","Cameroon","Right",3,82,74,58,75,34,68,2022,"FRD"
"T. Weah",74,81,8500000,24000,21,"2000-02-22","LOSC Lille",183,66,"French Ligue 1","ST","United States","Right",3,87,71,67,76,45,61,2022,"FRD"
"Mauro Júnior",74,80,7e+06,14000,22,"1999-05-06","PSV",171,62,"Holland Eredivisie","CAM","Brazil","Left",3,84,65,72,77,49,50,2022,"MID"
"D. Martínez",74,81,8e+06,12000,23,"1998-01-21","River Plate",182,76,"Argentina Primera División","CB","Paraguay","Left",3,77,50,66,65,73,79,2022,"DEF"
"P. Schuurs",74,83,9e+06,9000,21,"1999-11-26","Ajax",191,79,"Holland Eredivisie","CB","Netherlands","Right",3,67,64,70,66,75,73,2022,"DEF"
"Aitor Ruibal",74,77,5500000,19000,25,"1996-03-22","Real Betis Balompié",176,75,"Spain Primera Division","RM","Spain","Right",3,78,74,66,75,42,62,2022,"MID"
"O. Fernández",74,74,4200000,22000,28,"1993-02-11","Club León",166,61,"Mexican Liga MX","LM","Colombia","Right",4,83,64,67,79,34,61,2022,"MID"
"T. Lamptey",74,84,9e+06,29000,20,"2000-09-30","Brighton & Hove Albion",163,62,"English Premier League","RWB","England","Right",3,87,44,66,75,67,52,2022,"DEF"
"L. Balerdi",74,82,9e+06,24000,22,"1999-01-26","Olympique de Marseille",187,76,"French Ligue 1","CB","Argentina","Right",2,71,36,57,64,75,75,2022,"DEF"
"B. Mbeumo",74,82,9500000,32000,21,"1999-08-07","Brentford",171,75,"English Premier League","RW","France","Left",2,83,73,69,74,37,63,2022,"FRD"
"L. Pellegrini",74,82,9e+06,42000,22,"1999-03-07","Juventus",178,72,"Italian Serie A","LB","Italy","Left",4,83,54,64,72,69,61,2022,"DEF"
"A. Gholizadeh",74,76,5500000,13000,25,"1996-03-10","Royal Charleroi S.C.",176,69,"Belgian Jupiler Pro League","LM","Iran","Left",3,77,67,68,77,48,70,2022,"MID"
"Chiquinho",74,77,5500000,12000,25,"1995-07-19","SC Braga",174,68,"Portuguese Liga ZON SAGRES","CAM","Portugal","Right",3,71,70,75,78,54,51,2022,"MID"
"Kangin Lee",74,82,9500000,18000,20,"2001-02-19","RCD Mallorca",173,68,"Spain Primera Division","ST","Korea Republic","Left",3,72,75,75,79,30,54,2022,"FRD"
"Corpas",74,74,4100000,11000,29,"1991-07-07","SD Eibar",178,72,"Spanish Segunda División","RM","Spain","Right",3,86,67,69,74,36,58,2022,"MID"
"M. Burda",74,78,5e+06,850,26,"1995-03-24","Dynamo Kyiv",187,80,"Ukrainian Premier League","CB","Ukraine","Right",3,65,23,43,42,77,74,2022,"DEF"
"J. Bogle",74,85,9e+06,17000,20,"2000-07-27","Sheffield United",178,69,"English League Championship","RWB","England","Right",3,81,54,66,73,69,68,2022,"DEF"
"P. Bucha",74,81,8500000,900,23,"1998-03-11","FC Viktoria Plzen",176,71,"Czech Republic Gambrinus Liga","CM","Czech Republic","Right",4,71,71,74,76,61,67,2022,"MID"
"A. Cermák",74,76,5e+06,1000,26,"1994-10-01","FC Viktoria Plzen",181,75,"Czech Republic Gambrinus Liga","CAM","Czech Republic","Left",3,69,68,74,74,43,63,2022,"MID"
"P. Hrošovský",74,74,4100000,16000,29,"1992-04-22","KRC Genk",172,67,"Belgian Jupiler Pro League","CM","Slovakia","Right",3,69,69,74,75,70,66,2022,"MID"
"J. Teze",74,81,8e+06,10000,21,"1999-09-30","PSV",183,68,"Holland Eredivisie","CB","Netherlands","Right",3,82,48,63,67,74,77,2022,"DEF"
"T. Bašic",74,79,6500000,38000,24,"1996-11-25","Lazio",190,82,"Italian Serie A","CM","Croatia","Left",3,54,64,75,73,69,76,2022,"MID"
"T. Almada",74,86,1e+07,10000,20,"2001-04-26","Vélez Sarsfield",171,62,"Argentina Primera División","CAM","Argentina","Right",4,85,71,69,82,52,62,2022,"MID"
"P. De la Vega",74,86,1e+07,13000,20,"2001-02-07","Club Atlético Lanús",177,71,"Argentina Primera División","RW","Argentina","Right",3,86,70,69,76,50,73,2022,"FRD"
"Barrenetxea",74,83,9e+06,17000,19,"2001-12-27","Real Sociedad",175,74,"Spain Primera Division","LW","Spain","Right",4,80,69,62,79,24,53,2022,"FRD"
"Aihen Muñoz",74,81,8e+06,20000,23,"1997-08-16","Real Sociedad",175,68,"Spain Primera Division","LB","Spain","Left",3,77,53,69,71,72,65,2022,"DEF"
"A. Espino",74,74,3700000,24000,29,"1992-01-05","Cádiz CF",172,71,"Spain Primera Division","LB","Uruguay","Left",3,78,60,63,69,70,75,2022,"DEF"
"G. Plata",74,84,9500000,10000,20,"2000-11-01","Real Valladolid CF",178,65,"Spanish Segunda División","RW","Ecuador","Left",3,85,66,65,79,43,64,2022,"FRD"
"K. Thuram",74,82,8500000,18000,20,"2001-03-26","OGC Nice",192,81,"French Ligue 1","CDM","France","Right",3,73,61,69,74,72,76,2022,"MID"
"Thierry Correia",74,80,6500000,22000,22,"1999-03-09","Valencia CF",176,69,"Spain Primera Division","RB","Portugal","Right",4,91,46,65,73,67,69,2022,"DEF"
